Date,Department,Units_Produced,Defects,Cycle_Time,Downtime,Expected_Output,Ideal_Cycle_Time
2025-01-01,Assembly,151,10,11.9,71.62,60,8
2025-01-01,Painting,182,6,10.29,103.94,48,10
2025-01-01,Packaging,199,7,8.54,2.47,96,5
2025-01-02,Assembly,101,7,12.16,25.48,60,8
2025-01-02,Painting,163,4,13.09,73.4,48,10
2025-01-02,Packaging,188,0,7.62,47.98,96,5
2025-01-03,Assembly,191,2,9.91,117.99,60,8
2025-01-03,Painting,102,4,13.04,20.46,48,10
2025-01-03,Packaging,138,1,9.74,115.88,96,5
2025-01-04,Assembly,108,9,8.49,82.11,60,8
2025-01-04,Painting,159,6,13.05,99.98,48,10
2025-01-04,Packaging,134,0,6.29,79.5,96,5
2025-01-05,Assembly,101,5,9.04,68.12,60,8
2025-01-05,Painting,192,1,13.88,112.74,48,10
2025-01-05,Packaging,161,3,7.99,110.62,96,5
2025-01-06,Assembly,171,6,10.6,115.34,60,8
2025-01-06,Painting,184,1,12.7,70.41,48,10
2025-01-06,Packaging,188,8,6.48,19.83,96,5
2025-01-07,Assembly,188,6,10.12,47.39,60,8
2025-01-07,Painting,107,7,10.07,23.86,48,10
2025-01-07,Packaging,107,2,8.95,72.72,96,5
2025-01-08,Assembly,140,6,12.25,53.93,60,8
2025-01-08,Painting,132,6,11.55,39.02,48,10
2025-01-08,Packaging,198,7,6.37,67.35,96,5
2025-01-09,Assembly,198,4,12.86,101.87,60,8
2025-01-09,Painting,104,9,11.18,30.73,48,10
2025-01-09,Packaging,126,8,8.55,13.31,96,5
2025-01-10,Assembly,176,2,8.16,76.37,60,8
2025-01-10,Painting,151,3,14.54,29.92,48,10
2025-01-10,Packaging,114,10,6.02,113.14,96,5
2025-01-11,Assembly,170,10,11.47,105.66,60,8
2025-01-11,Painting,141,8,10.53,54.78,48,10
2025-01-11,Packaging,143,3,9.46,64.72,96,5
2025-01-12,Assembly,191,8,9.59,13.21,60,8
2025-01-12,Painting,126,8,14.09,103.29,48,10
